location,size,total_sqft,bath,price,bhk,price_per_sqft
2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0
2nd Phase Judicial Layout,3 BHK,1300.0,3.0,64.0,3,4923.076923076923
2nd Phase Judicial Layout,3 BHK,1681.0,3.0,69.0,3,4104.699583581201
2nd Stage Arekere Mico Layout,3 BHK,2095.0,3.0,142.0,3,6778.042959427207
2nd Stage Arekere Mico Layout,4 Bedroom,1200.0,4.0,130.0,4,10833.333333333334
2nd Stage Arekere Mico Layout,4 Bedroom,1200.0,4.0,235.0,4,19583.333333333332
2nd Stage Nagarbhavi,3 Bedroom,600.0,4.0,100.0,3,16666.666666666668
2nd Stage Nagarbhavi,3 Bedroom,600.0,5.0,135.0,3,22500.0
2nd Stage Nagarbhavi,4 Bedroom,600.0,3.0,82.0,4,13666.666666666666
2nd Stage Nagarbhavi,4 Bedroom,600.0,3.0,84.0,4,14000.0
2nd Stage Nagarbhavi,4 Bedroom,600.0,3.0,95.0,4,15833.333333333334
2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333334
2nd Stage Nagarbhavi,4 Bedroom,3000.0,3.0,170.0,4,5666.666666666667
2nd Stage Nagarbhavi,4 Bedroom,600.0,4.0,125.0,4,20833.333333333332
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750.0
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,245.0,4,20416.666666666668
2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,200.0,4,14814.814814814816
2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666666
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,285.0,5,23750.0
2nd Stage Nagarbhavi,5 Bedroom,4000.0,4.0,240.0,5,6000.0
2nd Stage Nagarbhavi,5 Bedroom,1200.0,5.0,290.0,5,24166.666666666668
2nd Stage Nagarbhavi,6 Bedroom,1500.0,4.0,233.0,6,15533.333333333334
2nd Stage Nagarbhavi,6 Bedroom,2400.0,8.0,450.0,6,18750.0
2nd Stage Nagarbhavi,6 Bedroom,3000.0,8.0,451.0,6,15033.333333333334
"2nd phase jp nagar, jp nagar",3 Bedroom,1200.0,3.0,205.0,3,17083.333333333332
3rd Block Banashankari,3 BHK,1626.6,3.0,133.0,3,8176.564613303824
3rd Block Banashankari,4 Bedroom,1700.0,2.0,550.0,4,32352.941176470587
3rd Block Banashankari,4 Bedroom,1200.0,4.0,175.0,4,14583.333333333334
3rd Block Banashankari,5 Bedroom,2400.0,4.0,325.0,5,13541.666666666666
3rd Block Banashankari,6 Bedroom,2400.0,8.0,650.0,6,27083.333333333332
3rd Block HBR Layout,3 Bedroom,2000.0,3.0,100.0,3,5000.0
3rd Block Hrbr Layout,2 BHK,1056.0,2.0,80.0,2,7575.757575757576
3rd Block Hrbr Layout,2 Bedroom,1200.0,2.0,200.0,2,16666.666666666668
3rd Block Hrbr Layout,2 BHK,1300.0,2.0,95.0,2,7307.692307692308
3rd Block Hrbr Layout,2 BHK,1320.0,2.0,90.0,2,6818.181818181818
3rd Block Hrbr Layout,3 BHK,1650.0,3.0,140.0,3,8484.848484848484
3rd Block Hrbr Layout,4 Bedroom,1200.0,3.0,210.0,4,17500.0
3rd Block Hrbr Layout,5 Bedroom,1200.0,5.0,190.0,5,15833.333333333334
3rd Block Jayanagar,2 BHK,1000.0,2.0,130.0,2,13000.0
3rd Block Jayanagar,3 BHK,1350.0,2.0,140.0,3,10370.37037037037
3rd Block Jayanagar,3 BHK,2150.0,3.0,240.0,3,11162.790697674418
3rd Block Koramangala,3 BHK,1750.0,3.0,170.0,3,9714.285714285714
3rd Block Koramangala,3 BHK,2100.0,3.0,270.0,3,12857.142857142857
3rd Phase Iti Layout,2 BHK,1145.0,2.0,63.0,2,5502.183406113537
3rd Phase JP Nagar,3 BHK,1550.0,2.0,79.0,3,5096.774193548387
3rd Phase JP Nagar,3 BHK,2400.0,3.0,270.0,3,11250.0
3rd Phase JP Nagar,4 BHK,4500.0,4.0,345.0,4,7666.666666666667
3rd Stage Raja Rajeshwari Nagar,2 BHK,1300.0,3.0,65.0,2,5000.0
4 Bedroom Farm House in Bagalur,4 Bedroom,10961.0,4.0,80.0,4,729.8604141957851
4th Block HBR Layout,5 Bedroom,1200.0,5.0,138.0,5,11500.0
4th Block Jayanagar,2 BHK,900.0,2.0,70.0,2,7777.777777777777
4th Block Jayanagar,3 BHK,1567.2,2.0,190.0,3,12123.532414497193
4th Block Jayanagar,3 BHK,2005.0,3.0,240.0,3,11970.074812967581
4th Block Jayanagar,7 Bedroom,2240.0,4.0,700.0,7,31250.0
4th Block Koramangala,2 BHK,1225.0,2.0,150.0,2,12244.897959183674
4th Block Koramangala,2 BHK,1269.0,2.0,97.0,2,7643.81402679275
4th Block Koramangala,3 BHK,1800.0,3.0,140.0,3,7777.777777777777
4th Block Koramangala,4 Bedroom,2400.0,4.0,500.0,4,20833.333333333332
4th Block Koramangala,4 Bedroom,2400.0,4.0,550.0,4,22916.666666666668
4th Block Koramangala,4 Bedroom,2400.0,4.0,600.0,4,25000.0
4th Block Koramangala,4 Bedroom,2400.0,5.0,180.0,4,7500.0
4th Block Koramangala,4 BHK,3400.0,6.0,420.0,4,12352.941176470587
4th Block Koramangala,9 BHK,4500.0,9.0,500.0,9,11111.111111111111
4th Phase JP Nagar,2 BHK,1070.0,2.0,38.9,2,3635.5140186915887
4th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2,3518.5185185185187
4th Phase JP Nagar,2 BHK,600.0,4.0,70.0,2,11666.666666666666
4th Phase JP Nagar,5 Bedroom,2250.0,5.0,360.0,5,16000.0
4th T block Jayanagar,3 BHK,2100.0,3.0,220.0,3,10476.190476190477
4th T block Jayanagar,3 BHK,2400.0,3.0,185.0,3,7708.333333333333
4th T block Jayanagar,3 BHK,2401.0,3.0,185.0,3,7705.12286547272
4th T block Jayanagar,4 Bedroom,1550.0,4.0,120.0,4,7741.935483870968
4th T block Jayanagar,4 Bedroom,2080.0,4.0,440.0,4,21153.846153846152
4th T block Jayanagar,4 Bedroom,2400.0,4.0,480.0,4,20000.0
4th T block Jayanagar,4 BHK,3900.0,4.0,333.0,4,8538.461538461539
5th Block Hbr Layout,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2,4643.449419568822
5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
5th Block Hbr Layout,4 Bedroom,1200.0,4.0,205.0,4,17083.333333333332
5th Block Hbr Layout,5 BHK,1200.0,5.0,205.0,5,17083.333333333332
5th Block Hbr Layout,5 Bedroom,1200.0,5.0,205.0,5,17083.333333333332
5th Block Hbr Layout,5 Bedroom,3600.0,5.0,130.0,5,3611.1111111111113
5th Block Hbr Layout,5 Bedroom,1200.0,6.0,220.0,5,18333.333333333332
5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
5th Block Hbr Layout,6 Bedroom,1200.0,6.0,250.0,6,20833.333333333332
5th Block Hbr Layout,9 Bedroom,2600.0,12.0,675.0,9,25961.53846153846
5th Block Jayanagar,1 Bedroom,1500.0,1.0,300.0,1,20000.0
5th Block Jayanagar,3 Bedroom,500.0,2.0,75.0,3,15000.0
5th Block Jayanagar,4 Bedroom,10624.0,4.0,2340.0,4,22025.602409638555
5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257.246376811594
5th Phase JP Nagar,1 BHK,600.0,1.0,30.0,1,5000.0
5th Phase JP Nagar,2 BHK,812.0,2.0,42.0,2,5172.413793103448
5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2,4800.0
5th Phase JP Nagar,2 BHK,1010.0,2.0,57.0,2,5643.564356435643
5th Phase JP Nagar,2 BHK,1030.0,2.0,57.0,2,5533.980582524272
5th Phase JP Nagar,2 BHK,1041.0,2.0,54.0,2,5187.319884726225
5th Phase JP Nagar,2 BHK,1070.0,2.0,39.0,2,3644.8598130841124
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
5th Phase JP Nagar,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2,5193.27731092437
5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2,4250.0
5th Phase JP Nagar,2 BHK,1200.0,2.0,68.0,2,5666.666666666667
5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
5th Phase JP Nagar,2 BHK,1220.0,2.0,88.0,2,7213.11475409836
5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
5th Phase JP Nagar,2 BHK,1390.0,2.0,65.0,2,4676.258992805755
5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2,4166.666666666667
5th Phase JP Nagar,2 BHK,1450.0,2.0,58.0,2,4000.0
5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
5th Phase JP Nagar,3 BHK,1400.0,2.0,88.0,3,6285.714285714285
5th Phase JP Nagar,3 BHK,1450.0,2.0,73.0,3,5034.482758620689
5th Phase JP Nagar,3 BHK,1485.0,2.0,66.0,3,4444.444444444444
5th Phase JP Nagar,3 BHK,1485.0,2.0,67.0,3,4511.784511784512
5th Phase JP Nagar,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
5th Phase JP Nagar,3 BHK,1240.0,3.0,60.0,3,4838.709677419355
5th Phase JP Nagar,3 BHK,1550.0,3.0,75.0,3,4838.709677419355
5th Phase JP Nagar,4 Bedroom,1000.0,4.0,130.0,4,13000.0
5th Phase JP Nagar,4 Bedroom,2400.0,4.0,228.0,4,9500.0
5th Phase JP Nagar,5 BHK,2500.0,5.0,110.0,5,4400.0
5th Phase JP Nagar,5 BHK,4000.0,5.0,170.0,5,4250.0
5th Phase JP Nagar,7 BHK,2500.0,8.0,95.0,7,3800.0
5th Phase JP Nagar,8 Bedroom,1200.0,7.0,250.0,8,20833.333333333332
5th Phase JP Nagar,9 Bedroom,812.0,6.0,165.0,9,20320.197044334975
5th Phase JP Nagar,9 Bedroom,1260.0,11.0,290.0,9,23015.873015873014
5th Stage BEML Layout,3 BHK,2000.0,3.0,85.0,3,4250.0
5th Stage BEML Layout,3 BHK,2000.0,3.0,85.0,3,4250.0
5th Stage BEML Layout,4 Bedroom,1200.0,5.0,325.0,4,27083.333333333332
5th block Koramangala,4 BHK,4000.0,4.0,520.0,4,13000.0
6th Block Jayanagar,3 BHK,2100.0,4.0,255.0,3,12142.857142857143
6th Block Rajaji Nagar,4 BHK,3200.0,3.0,190.0,4,5937.5
6th Phase JP Nagar,1 Bedroom,600.0,1.0,75.0,1,12500.0
6th Phase JP Nagar,1 BHK,750.0,1.0,105.0,1,14000.0
6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2,5701.754385964912
6th Phase JP Nagar,2 BHK,1170.0,2.0,120.0,2,10256.410256410256
6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779.661016949152
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
6th Phase JP Nagar,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
6th Phase JP Nagar,2 BHK,1213.0,2.0,63.0,2,5193.734542456719
6th Phase JP Nagar,2 BHK,1216.0,2.0,60.0,2,4934.210526315789
6th Phase JP Nagar,2 BHK,1280.0,2.0,56.0,2,4375.0
6th Phase JP Nagar,2 BHK,1280.0,2.0,88.0,2,6875.0
6th Phase JP Nagar,2 BHK,1460.0,2.0,80.0,2,5479.45205479452
6th Phase JP Nagar,3 Bedroom,600.0,2.0,100.0,3,16666.666666666668
6th Phase JP Nagar,3 BHK,1350.0,2.0,58.0,3,4296.2962962962965
6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3,8910.89108910891
6th Phase JP Nagar,3 BHK,1250.0,3.0,48.9,3,3912.0
6th Phase JP Nagar,3 BHK,1645.0,3.0,100.0,3,6079.0273556231
6th Phase JP Nagar,3 BHK,1810.0,3.0,131.0,3,7237.5690607734805
6th Phase JP Nagar,3 BHK,2003.0,3.0,200.0,3,9985.022466300548
6th Phase JP Nagar,3 BHK,2040.0,3.0,200.0,3,9803.921568627451
6th Phase JP Nagar,4 Bedroom,600.0,4.0,125.0,4,20833.333333333332
6th Phase JP Nagar,4 BHK,3245.0,4.0,250.0,4,7704.160246533128
6th Phase JP Nagar,8 Bedroom,1650.0,6.0,135.0,8,8181.818181818182
6th block Koramangala,2 BHK,1117.0,2.0,110.0,2,9847.806624888093
6th block Koramangala,3 BHK,1450.0,2.0,89.6,3,6179.310344827586
6th block Koramangala,3 BHK,2350.0,3.0,400.0,3,17021.27659574468
6th block Koramangala,3 BHK,3000.0,3.0,400.0,3,13333.333333333334
6th block Koramangala,5 Bedroom,1200.0,5.0,300.0,5,25000.0
"6th block banashankari 3rd stage, 100 feet ORR",3 Bedroom,4000.0,3.0,660.0,3,16500.0
7th Block Jayanagar,3 BHK,1903.0,2.0,293.0,3,15396.741986337362
7th Block Jayanagar,3 BHK,1707.0,3.0,171.0,3,10017.574692442882
7th Block Jayanagar,3 Bedroom,2400.0,3.0,408.0,3,17000.0
7th Block Jayanagar,4 Bedroom,2400.0,3.0,480.0,4,20000.0
7th Block Jayanagar,5 Bedroom,3000.0,3.0,528.0,5,17600.0
7th Block Koramangala,6 Bedroom,600.0,5.0,130.0,6,21666.666666666668
7th Phase JP Nagar,1 Bedroom,500.0,1.0,70.0,1,14000.0
7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1,6266.666666666667
7th Phase JP Nagar,1 Bedroom,1000.0,1.0,60.0,1,6000.0
7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2,4941.176470588235
7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500.0
7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2,7040.816326530612
7th Phase JP Nagar,2 BHK,980.0,2.0,77.44,2,7902.040816326531
7th Phase JP Nagar,2 BHK,980.0,2.0,86.0,2,8775.510204081633
7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2,5050.50505050505
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2,6100.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
7th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
